gender ,race/ethnicity ,parental level of education ,lunch        ,test preparation course ,math score ,reading score ,writing score
male   ,group B        ,associate's degree          ,standard     ,completed               ,        91 ,           89 ,           92
female ,group C        ,some college                ,standard     ,completed               ,        88 ,           93 ,           93
male   ,group D        ,some college                ,standard     ,completed               ,        65 ,           77 ,           74
male   ,group C        ,some high school            ,free/reduced ,completed               ,        53 ,           37 ,           40
male   ,group E        ,some college                ,free/reduced ,completed               ,        87 ,           74 ,           70
female ,group C        ,some college                ,standard     ,completed               ,        75 ,           81 ,           84
male   ,group D        ,bachelor's degree           ,free/reduced ,completed               ,        74 ,           79 ,           75
male   ,group B        ,some high school            ,standard     ,completed               ,        51 ,           54 ,           41
male   ,group D        ,some college                ,standard     ,completed               ,        71 ,           61 ,           69
female ,group E        ,some college                ,free/reduced ,completed               ,        42 ,           55 ,           54
female ,group D        ,bachelor's degree           ,standard     ,completed               ,        68 ,           75 ,           81
male   ,group E        ,associate's degree          ,free/reduced ,completed               ,       100 ,          100 ,           93
male   ,group A        ,some high school            ,standard     ,completed               ,        62 ,           67 ,           69
female ,group B        ,associate's degree          ,standard     ,completed               ,        59 ,           70 ,           66
female ,group C        ,some college                ,standard     ,completed               ,        70 ,           89 ,           88
female ,group E        ,high school                 ,free/reduced ,completed               ,        66 ,           74 ,           78
female ,group B        ,associate's degree          ,standard     ,completed               ,        61 ,           86 ,           87
male   ,group B        ,associate's degree          ,free/reduced ,completed               ,        82 ,           78 ,           74
female ,group E        ,some college                ,free/reduced ,completed               ,        75 ,           88 ,           85
female ,group C        ,bachelor's degree           ,standard     ,completed               ,        96 ,          100 ,          100
male   ,group C        ,high school                 ,free/reduced ,completed               ,        53 ,           51 ,           51
female ,group B        ,master's degree             ,free/reduced ,completed               ,        58 ,           76 ,           78
female ,group B        ,high school                 ,standard     ,completed               ,        68 ,           83 ,           78
female ,group C        ,some college                ,free/reduced ,completed               ,        67 ,           75 ,           70
male   ,group A        ,high school                 ,standard     ,completed               ,        72 ,           73 ,           74
female ,group C        ,bachelor's degree           ,free/reduced ,completed               ,        43 ,           51 ,           54
female ,group C        ,master's degree             ,standard     ,completed               ,        81 ,           91 ,           87
female ,group B        ,high school                 ,free/reduced ,completed               ,        46 ,           54 ,           58
female ,group C        ,associate's degree          ,standard     ,completed               ,        71 ,           77 ,           77
female ,group B        ,master's degree             ,free/reduced ,completed               ,        52 ,           70 ,           62
female ,group D        ,some high school            ,standard     ,completed               ,        97 ,          100 ,          100
male   ,group C        ,master's degree             ,free/reduced ,completed               ,        62 ,           68 ,           75
male   ,group C        ,some high school            ,free/reduced ,completed               ,        45 ,           52 ,           49
male   ,group C        ,associate's degree          ,free/reduced ,completed               ,        65 ,           67 ,           65
male   ,group D        ,some high school            ,standard     ,completed               ,        62 ,           66 ,           68
male   ,group D        ,some college                ,standard     ,completed               ,        76 ,           83 ,           79
male   ,group D        ,some college                ,standard     ,completed               ,        77 ,           62 ,           62
female ,group C        ,master's degree             ,standard     ,completed               ,        69 ,           84 ,           85
male   ,group C        ,some high school            ,free/reduced ,completed               ,        59 ,           69 ,           65
female ,group C        ,associate's degree          ,standard     ,completed               ,        67 ,           84 ,           86
male   ,group D        ,some high school            ,standard     ,completed               ,        74 ,           71 ,           78
male   ,group E        ,high school                 ,standard     ,completed               ,        81 ,           80 ,           76
male   ,group D        ,some high school            ,free/reduced ,completed               ,        80 ,           79 ,           79
male   ,group C        ,associate's degree          ,free/reduced ,completed               ,        60 ,           51 ,           56
male   ,group E        ,high school                 ,standard     ,completed               ,        87 ,           91 ,           81
male   ,group B        ,some high school            ,standard     ,completed               ,        84 ,           83 ,           75
female ,group E        ,associate's degree          ,free/reduced ,completed               ,        83 ,           86 ,           88
male   ,group B        ,some high school            ,standard     ,completed               ,        61 ,           56 ,           56
female ,group D        ,high school                 ,standard     ,completed               ,        56 ,           68 ,           74
female ,group B        ,associate's degree          ,standard     ,completed               ,        52 ,           66 ,           73
female ,group C        ,some college                ,standard     ,completed               ,        88 ,           95 ,           94
male   ,group C        ,bachelor's degree           ,standard     ,completed               ,        83 ,           82 ,           84
female ,group D        ,some high school            ,standard     ,completed               ,        64 ,           60 ,           74
male   ,group D        ,high school                 ,free/reduced ,completed               ,        73 ,           68 ,           66
female ,group B        ,high school                 ,standard     ,completed               ,        58 ,           70 ,           68
male   ,group A        ,some high school            ,standard     ,completed               ,        47 ,           49 ,           49
female ,group B        ,some high school            ,standard     ,completed               ,        60 ,           70 ,           70
male   ,group C        ,associate's degree          ,standard     ,completed               ,        78 ,           77 ,           77
female ,group C        ,master's degree             ,free/reduced ,completed               ,        65 ,           81 ,           81
female ,group C        ,some high school            ,free/reduced ,completed               ,        64 ,           79 ,           77
male   ,group C        ,some college                ,standard     ,completed               ,        79 ,           79 ,           78
female ,group D        ,associate's degree          ,standard     ,completed               ,        88 ,           92 ,           95
male   ,group B        ,some college                ,standard     ,completed               ,        88 ,           85 ,           76
female ,group C        ,some high school            ,standard     ,completed               ,        85 ,           92 ,           93
female ,group E        ,high school                 ,standard     ,completed               ,        59 ,           63 ,           75
female ,group D        ,some college                ,free/reduced ,completed               ,        70 ,           78 ,           78
male   ,group B        ,associate's degree          ,standard     ,completed               ,        81 ,           82 ,           82
male   ,group E        ,associate's degree          ,standard     ,completed               ,        97 ,           82 ,           88
male   ,group E        ,some high school            ,standard     ,completed               ,        77 ,           76 ,           77
male   ,group C        ,some high school            ,standard     ,completed               ,        63 ,           60 ,           57
male   ,group D        ,high school                 ,free/reduced ,completed               ,        78 ,           77 ,           80
male   ,group A        ,some high school            ,standard     ,completed               ,        46 ,           41 ,           43
male   ,group E        ,associate's degree          ,standard     ,completed               ,        71 ,           74 ,           68
male   ,group C        ,high school                 ,free/reduced ,completed               ,        40 ,           46 ,           50
male   ,group A        ,some college                ,free/reduced ,completed               ,        81 ,           78 ,           81
female ,group C        ,associate's degree          ,standard     ,completed               ,        67 ,           84 ,           81
female ,group C        ,associate's degree          ,standard     ,completed               ,        74 ,           75 ,           83
male   ,group E        ,some college                ,standard     ,completed               ,        99 ,           87 ,           81
male   ,group D        ,bachelor's degree           ,standard     ,completed               ,        67 ,           61 ,           68
female ,group C        ,associate's degree          ,free/reduced ,completed               ,        68 ,           67 ,           69
female ,group C        ,bachelor's degree           ,standard     ,completed               ,        59 ,           64 ,           75
female ,group D        ,master's degree             ,standard     ,completed               ,        77 ,           82 ,           91
female ,group C        ,high school                 ,free/reduced ,completed               ,        67 ,           79 ,           84
male   ,group C        ,associate's degree          ,standard     ,completed               ,        82 ,           75 ,           77
male   ,group E        ,associate's degree          ,standard     ,completed               ,        62 ,           56 ,           53
male   ,group D        ,some high school            ,standard     ,completed               ,        76 ,           70 ,           69
female ,group D        ,some high school            ,free/reduced ,completed               ,        35 ,           55 ,           60
female ,group B        ,high school                 ,standard     ,completed               ,        69 ,           76 ,           74
male   ,group D        ,associate's degree          ,standard     ,completed               ,        67 ,           72 ,           67
female ,group C        ,bachelor's degree           ,standard     ,completed               ,        77 ,           94 ,           95
female ,group C        ,some college                ,standard     ,completed               ,        63 ,           78 ,           80
female ,group C        ,some college                ,free/reduced ,completed               ,        42 ,           66 ,           69
male   ,group B        ,some high school            ,standard     ,completed               ,        85 ,           84 ,           78
male   ,group A        ,bachelor's degree           ,free/reduced ,completed               ,        49 ,           58 ,           60
male   ,group C        ,high school                 ,standard     ,completed               ,        69 ,           58 ,           53
female ,group C        ,some college                ,free/reduced ,completed               ,        45 ,           73 ,           70
female ,group D        ,some college                ,standard     ,completed               ,        82 ,           97 ,           96
female ,group D        ,master's degree             ,free/reduced ,completed               ,        85 ,           95 ,          100
male   ,group C        ,associate's degree          ,standard     ,completed               ,        87 ,          100 ,           95
male   ,group E        ,some high school            ,free/reduced ,completed               ,        73 ,           67 ,           59
male   ,group C        ,associate's degree          ,standard     ,completed               ,        57 ,           54 ,           56
female ,group C        ,some high school            ,standard     ,completed               ,        65 ,           74 ,           77
female ,group C        ,some high school            ,standard     ,completed               ,        59 ,           54 ,           67
female ,group D        ,high school                 ,standard     ,completed               ,        88 ,           99 ,          100
male   ,group B        ,associate's degree          ,standard     ,completed               ,        65 ,           65 ,           63
female ,group D        ,high school                 ,free/reduced ,completed               ,        52 ,           57 ,           56
male   ,group D        ,associate's degree          ,standard     ,completed               ,        87 ,           84 ,           85
female ,group D        ,master's degree             ,standard     ,completed               ,        70 ,           71 ,           74
male   ,group E        ,some college                ,standard     ,completed               ,        84 ,           83 ,           78
male   ,group B        ,some high school            ,standard     ,completed               ,        63 ,           67 ,           67
female ,group C        ,bachelor's degree           ,free/reduced ,completed               ,        51 ,           72 ,           79
male   ,group C        ,bachelor's degree           ,standard     ,completed               ,        71 ,           74 ,           68
male   ,group E        ,high school                 ,free/reduced ,completed               ,        57 ,           56 ,           54
female ,group C        ,associate's degree          ,free/reduced ,completed               ,        82 ,           93 ,           93
female ,group D        ,high school                 ,standard     ,completed               ,        57 ,           58 ,           64
female ,group D        ,master's degree             ,free/reduced ,completed               ,        47 ,           58 ,           67
female ,group A        ,some high school            ,standard     ,completed               ,        59 ,           85 ,           80
male   ,group C        ,some college                ,free/reduced ,completed               ,        50 ,           48 ,           53
male   ,group D        ,some high school            ,standard     ,completed               ,        89 ,           88 ,           82
female ,group C        ,some college                ,standard     ,completed               ,        67 ,           81 ,           79
female ,group C        ,some high school            ,standard     ,completed               ,        67 ,           74 ,           77
male   ,group C        ,high school                 ,standard     ,completed               ,        86 ,           81 ,           80
female ,group C        ,some college                ,free/reduced ,completed               ,        64 ,           85 ,           85
male   ,group B        ,high school                 ,standard     ,completed               ,        72 ,           65 ,           68
male   ,group A        ,bachelor's degree           ,standard     ,completed               ,        75 ,           58 ,           62
male   ,group A        ,high school                 ,free/reduced ,completed               ,        72 ,           67 ,           65
female ,group A        ,high school                 ,free/reduced ,completed               ,        77 ,           88 ,           85
female ,group C        ,associate's degree          ,standard     ,completed               ,        83 ,           85 ,           90
female ,group C        ,associate's degree          ,standard     ,completed               ,        68 ,           86 ,           84
female ,group B        ,associate's degree          ,standard     ,completed               ,        90 ,           90 ,           91
female ,group D        ,bachelor's degree           ,standard     ,completed               ,        71 ,           76 ,           83
male   ,group E        ,bachelor's degree           ,standard     ,completed               ,        76 ,           62 ,           66
male   ,group B        ,high school                 ,standard     ,completed               ,        73 ,           71 ,           68
male   ,group B        ,some high school            ,standard     ,completed               ,        64 ,           53 ,           57
male   ,group A        ,associate's degree          ,free/reduced ,completed               ,        79 ,           82 ,           82
male   ,group D        ,high school                 ,standard     ,completed               ,        68 ,           64 ,           66
female ,group D        ,some college                ,free/reduced ,completed               ,        59 ,           78 ,           76
female ,group B        ,associate's degree          ,standard     ,completed               ,        94 ,           87 ,           92
female ,group E        ,associate's degree          ,standard     ,completed               ,        95 ,           89 ,           92
female ,group B        ,some high school            ,standard     ,completed               ,        54 ,           61 ,           62
female ,group B        ,master's degree             ,free/reduced ,completed               ,        77 ,           97 ,           94
female ,group C        ,some high school            ,standard     ,completed               ,        76 ,           87 ,           85
female ,group E        ,some college                ,standard     ,completed               ,        66 ,           74 ,           73
female ,group D        ,some high school            ,standard     ,completed               ,        66 ,           78 ,           78
female ,group B        ,high school                 ,free/reduced ,completed               ,        67 ,           78 ,           79
male   ,group C        ,high school                 ,standard     ,completed               ,        53 ,           52 ,           49
male   ,group C        ,some high school            ,free/reduced ,completed               ,        56 ,           61 ,           60
female ,group C        ,associate's degree          ,standard     ,completed               ,        68 ,           67 ,           73
male   ,group E        ,associate's degree          ,standard     ,completed               ,        62 ,           61 ,           58
female ,group E        ,associate's degree          ,standard     ,completed               ,        79 ,           88 ,           94
male   ,group B        ,high school                 ,standard     ,completed               ,        73 ,           69 ,           68
female ,group C        ,bachelor's degree           ,free/reduced ,completed               ,        66 ,           83 ,           83
male   ,group C        ,associate's degree          ,standard     ,completed               ,        51 ,           60 ,           58
male   ,group E        ,bachelor's degree           ,standard     ,completed               ,        85 ,           66 ,           71
male   ,group A        ,associate's degree          ,standard     ,completed               ,        97 ,           92 ,           86
male   ,group C        ,high school                 ,standard     ,completed               ,        75 ,           69 ,           68
male   ,group D        ,associate's degree          ,free/reduced ,completed               ,        79 ,           82 ,           80
male   ,group E        ,some high school            ,free/reduced ,completed               ,        78 ,           83 ,           80
female ,group A        ,some high school            ,standard     ,completed               ,        92 ,          100 ,           97
male   ,group C        ,high school                 ,standard     ,completed               ,        72 ,           67 ,           64
male   ,group B        ,bachelor's degree           ,free/reduced ,completed               ,        87 ,           90 ,           88
female ,group C        ,associate's degree          ,standard     ,completed               ,        55 ,           72 ,           79
female ,group D        ,some college                ,standard     ,completed               ,        74 ,           75 ,           79
male   ,group C        ,bachelor's degree           ,standard     ,completed               ,        96 ,           90 ,           92
female ,group D        ,some college                ,free/reduced ,completed               ,        63 ,           80 ,           80
female ,group E        ,bachelor's degree           ,free/reduced ,completed               ,        92 ,          100 ,          100
female ,group D        ,master's degree             ,free/reduced ,completed               ,        61 ,           71 ,           78
male   ,group B        ,some college                ,standard     ,completed               ,        71 ,           75 ,           70
female ,group C        ,high school                 ,free/reduced ,completed               ,        50 ,           66 ,           64
male   ,group A        ,associate's degree          ,free/reduced ,completed               ,        40 ,           55 ,           53
male   ,group A        ,some college                ,standard     ,completed               ,        61 ,           51 ,           52
female ,group B        ,some college                ,free/reduced ,completed               ,        48 ,           56 ,           58
female ,group D        ,associate's degree          ,standard     ,completed               ,        73 ,           75 ,           80
female ,group C        ,bachelor's degree           ,standard     ,completed               ,        92 ,          100 ,           99
female ,group C        ,bachelor's degree           ,standard     ,completed               ,        56 ,           79 ,           72
male   ,group D        ,master's degree             ,free/reduced ,completed               ,        84 ,           89 ,           90
male   ,group D        ,some college                ,free/reduced ,completed               ,        69 ,           60 ,           63
male   ,group C        ,bachelor's degree           ,standard     ,completed               ,        94 ,           90 ,           91
male   ,group C        ,associate's degree          ,free/reduced ,completed               ,        65 ,           73 ,           68
male   ,group C        ,high school                 ,free/reduced ,completed               ,        58 ,           51 ,           52
male   ,group A        ,some college                ,standard     ,completed               ,       100 ,           96 ,           86
male   ,group D        ,some college                ,standard     ,completed               ,       100 ,           97 ,           99
male   ,group B        ,associate's degree          ,free/reduced ,completed               ,        69 ,           70 ,           63
female ,group C        ,some high school            ,standard     ,completed               ,        44 ,           51 ,           55
female ,group B        ,bachelor's degree           ,standard     ,completed               ,        66 ,           74 ,           81
female ,group B        ,high school                 ,free/reduced ,completed               ,        67 ,           80 ,           81
female ,group D        ,some high school            ,standard     ,completed               ,        80 ,           92 ,           88
female ,group D        ,associate's degree          ,free/reduced ,completed               ,        74 ,           88 ,           90
female ,group E        ,high school                 ,standard     ,completed               ,        74 ,           79 ,           80
female ,group B        ,bachelor's degree           ,standard     ,completed               ,        65 ,           81 ,           81
female ,group D        ,some college                ,standard     ,completed               ,        69 ,           79 ,           81
male   ,group C        ,some high school            ,free/reduced ,completed               ,        51 ,           56 ,           53
female ,group A        ,high school                 ,standard     ,completed               ,        68 ,           80 ,           76
female ,group D        ,some college                ,standard     ,completed               ,        85 ,           86 ,           98
female ,group A        ,associate's degree          ,standard     ,completed               ,        65 ,           70 ,           74
female ,group C        ,some high school            ,free/reduced ,completed               ,        50 ,           60 ,           60
female ,group C        ,some college                ,free/reduced ,completed               ,        63 ,           73 ,           71
male   ,group D        ,associate's degree          ,standard     ,completed               ,        81 ,           72 ,           77
female ,group C        ,associate's degree          ,standard     ,completed               ,        65 ,           84 ,           84
female ,group D        ,high school                 ,standard     ,completed               ,        69 ,           77 ,           78
female ,group B        ,some college                ,standard     ,completed               ,        50 ,           64 ,           66
female ,group E        ,some college                ,standard     ,completed               ,        73 ,           78 ,           76
female ,group C        ,some high school            ,standard     ,completed               ,        70 ,           82 ,           76
female ,group C        ,some high school            ,free/reduced ,completed               ,        29 ,           40 ,           44
male   ,group B        ,some college                ,standard     ,completed               ,        62 ,           66 ,           68
female ,group E        ,master's degree             ,standard     ,completed               ,        94 ,           99 ,          100
male   ,group E        ,some college                ,standard     ,completed               ,        85 ,           75 ,           68
female ,group C        ,bachelor's degree           ,free/reduced ,completed               ,        66 ,           74 ,           81
female ,group C        ,associate's degree          ,standard     ,completed               ,        75 ,           82 ,           90
female ,group D        ,associate's degree          ,standard     ,completed               ,        57 ,           78 ,           79
female ,group E        ,bachelor's degree           ,standard     ,completed               ,        79 ,           81 ,           82
male   ,group A        ,bachelor's degree           ,standard     ,completed               ,        87 ,           84 ,           87
female ,group B        ,some high school            ,free/reduced ,completed               ,        59 ,           63 ,           64
female ,group D        ,associate's degree          ,free/reduced ,completed               ,        42 ,           61 ,           58
male   ,group C        ,some college                ,standard     ,completed               ,        93 ,           84 ,           90
female ,group E        ,some high school            ,standard     ,completed               ,        80 ,           85 ,           85
female ,group B        ,some high school            ,standard     ,completed               ,        60 ,           70 ,           74
female ,group B        ,associate's degree          ,free/reduced ,completed               ,        76 ,           94 ,           87
male   ,group C        ,associate's degree          ,standard     ,completed               ,        73 ,           78 ,           72
female ,group C        ,associate's degree          ,standard     ,completed               ,        96 ,           96 ,           99
male   ,group E        ,associate's degree          ,free/reduced ,completed               ,        91 ,           73 ,           80
male   ,group D        ,some high school            ,free/reduced ,completed               ,        55 ,           59 ,           59
female ,group B        ,some high school            ,free/reduced ,completed               ,        74 ,           90 ,           88
male   ,group E        ,some college                ,standard     ,completed               ,        81 ,           74 ,           71
female ,group E        ,associate's degree          ,standard     ,completed               ,        65 ,           75 ,           77
male   ,group E        ,some high school            ,standard     ,completed               ,        68 ,           51 ,           57
female ,group B        ,associate's degree          ,free/reduced ,completed               ,        68 ,           77 ,           80
female ,group C        ,some college                ,standard     ,completed               ,        87 ,           89 ,           94
female ,group B        ,some college                ,free/reduced ,completed               ,        53 ,           66 ,           73
female ,group C        ,associate's degree          ,standard     ,completed               ,        59 ,           73 ,           72
male   ,group B        ,some college                ,standard     ,completed               ,        87 ,           84 ,           86
male   ,group D        ,some high school            ,standard     ,completed               ,        71 ,           69 ,           68
male   ,group C        ,master's degree             ,free/reduced ,completed               ,        79 ,           77 ,           75
female ,group C        ,some high school            ,standard     ,completed               ,        77 ,           90 ,           85
male   ,group E        ,bachelor's degree           ,free/reduced ,completed               ,        70 ,           68 ,           72
female ,group D        ,some college                ,free/reduced ,completed               ,        52 ,           59 ,           65
male   ,group B        ,some college                ,standard     ,completed               ,        69 ,           77 ,           77
male   ,group D        ,some high school            ,standard     ,completed               ,        78 ,           81 ,           86
female ,group C        ,high school                 ,standard     ,completed               ,        58 ,           75 ,           77
male   ,group B        ,high school                 ,standard     ,completed               ,        76 ,           62 ,           60
female ,group B        ,some high school            ,free/reduced ,completed               ,        52 ,           67 ,           72
female ,group A        ,some college                ,standard     ,completed               ,        72 ,           79 ,           82
male   ,group E        ,associate's degree          ,standard     ,completed               ,        94 ,           85 ,           82
female ,group B        ,high school                 ,free/reduced ,completed               ,        76 ,           85 ,           82
female ,group C        ,associate's degree          ,standard     ,completed               ,        52 ,           59 ,           62
male   ,group C        ,bachelor's degree           ,standard     ,completed               ,        91 ,           81 ,           79
female ,group B        ,some high school            ,standard     ,completed               ,        32 ,           51 ,           44
male   ,group E        ,some high school            ,standard     ,completed               ,        89 ,           84 ,           77
female ,group E        ,associate's degree          ,free/reduced ,completed               ,        57 ,           68 ,           73
male   ,group C        ,some high school            ,standard     ,completed               ,        67 ,           73 ,           68
male   ,group C        ,some high school            ,standard     ,completed               ,        76 ,           80 ,           73
female ,group C        ,master's degree             ,standard     ,completed               ,        54 ,           64 ,           67
male   ,group E        ,some high school            ,standard     ,completed               ,        87 ,           84 ,           76
male   ,group B        ,some high school            ,standard     ,completed               ,        94 ,           86 ,           87
male   ,group D        ,bachelor's degree           ,free/reduced ,completed               ,        61 ,           70 ,           76
female ,group A        ,some high school            ,standard     ,completed               ,        85 ,           90 ,           92
male   ,group E        ,some college                ,free/reduced ,completed               ,        49 ,           52 ,           51
female ,group C        ,associate's degree          ,free/reduced ,completed               ,        56 ,           68 ,           70
female ,group D        ,some high school            ,free/reduced ,completed               ,        69 ,           86 ,           81
female ,group C        ,bachelor's degree           ,free/reduced ,completed               ,        74 ,           86 ,           89
female ,group B        ,high school                 ,standard     ,completed               ,        77 ,           82 ,           89
female ,group C        ,high school                 ,standard     ,completed               ,        60 ,           64 ,           74
female ,group A        ,high school                 ,standard     ,completed               ,        75 ,           82 ,           79
male   ,group B        ,associate's degree          ,free/reduced ,completed               ,        58 ,           57 ,           53
female ,group B        ,high school                 ,free/reduced ,completed               ,        23 ,           44 ,           36
male   ,group B        ,some college                ,free/reduced ,completed               ,        74 ,           77 ,           76
female ,group D        ,some high school            ,free/reduced ,completed               ,        40 ,           65 ,           64
male   ,group C        ,master's degree             ,standard     ,completed               ,        91 ,           85 ,           85
male   ,group B        ,high school                 ,standard     ,completed               ,        52 ,           49 ,           46
male   ,group D        ,bachelor's degree           ,free/reduced ,completed               ,        39 ,           42 ,           38
female ,group C        ,some college                ,standard     ,completed               ,        71 ,           71 ,           80
male   ,group D        ,some college                ,standard     ,completed               ,        82 ,           82 ,           88
male   ,group E        ,associate's degree          ,free/reduced ,completed               ,        78 ,           74 ,           72
female ,group C        ,some college                ,standard     ,completed               ,        70 ,           72 ,           76
male   ,group B        ,associate's degree          ,standard     ,completed               ,        82 ,           84 ,           78
male   ,group C        ,bachelor's degree           ,standard     ,completed               ,        63 ,           64 ,           66
female ,group E        ,bachelor's degree           ,standard     ,completed               ,        71 ,           70 ,           70
female ,group C        ,associate's degree          ,standard     ,completed               ,        62 ,           76 ,           80
female ,group E        ,associate's degree          ,standard     ,completed               ,        93 ,          100 ,           95
female ,group E        ,some college                ,standard     ,completed               ,        86 ,           85 ,           91
male   ,group D        ,some high school            ,standard     ,completed               ,        88 ,           74 ,           75
female ,group B        ,some high school            ,free/reduced ,completed               ,        63 ,           78 ,           79
male   ,group D        ,associate's degree          ,standard     ,completed               ,        67 ,           54 ,           63
female ,group D        ,some high school            ,standard     ,completed               ,        65 ,           78 ,           82
female ,group A        ,high school                 ,free/reduced ,completed               ,        34 ,           48 ,           41
female ,group D        ,bachelor's degree           ,free/reduced ,completed               ,        93 ,          100 ,          100
female ,group D        ,some college                ,standard     ,completed               ,        79 ,           84 ,           91
male   ,group E        ,bachelor's degree           ,standard     ,completed               ,        70 ,           64 ,           70
female ,group C        ,bachelor's degree           ,standard     ,completed               ,        52 ,           61 ,           66
female ,group C        ,bachelor's degree           ,free/reduced ,completed               ,        47 ,           62 ,           66
male   ,group E        ,bachelor's degree           ,standard     ,completed               ,       100 ,          100 ,          100
female ,group C        ,associate's degree          ,standard     ,completed               ,        57 ,           77 ,           80
male   ,group B        ,some college                ,standard     ,completed               ,        91 ,           96 ,           91
male   ,group E        ,some high school            ,standard     ,completed               ,        74 ,           64 ,           60
female ,group D        ,high school                 ,free/reduced ,completed               ,        65 ,           61 ,           71
male   ,group E        ,associate's degree          ,free/reduced ,completed               ,        46 ,           43 ,           44
male   ,group C        ,some college                ,free/reduced ,completed               ,        67 ,           74 ,           70
male   ,group D        ,associate's degree          ,free/reduced ,completed               ,        61 ,           71 ,           73
male   ,group C        ,bachelor's degree           ,free/reduced ,completed               ,        70 ,           75 ,           74
male   ,group C        ,associate's degree          ,standard     ,completed               ,        98 ,           87 ,           90
male   ,group D        ,some college                ,standard     ,completed               ,        85 ,           81 ,           85
male   ,group D        ,some high school            ,standard     ,completed               ,        77 ,           68 ,           69
male   ,group C        ,master's degree             ,free/reduced ,completed               ,        72 ,           66 ,           72
male   ,group A        ,some high school            ,free/reduced ,completed               ,        61 ,           62 ,           61
male   ,group B        ,some high school            ,free/reduced ,completed               ,        49 ,           50 ,           52
female ,group E        ,high school                 ,free/reduced ,completed               ,        57 ,           75 ,           73
female ,group D        ,some college                ,standard     ,completed               ,        75 ,           77 ,           83
male   ,group C        ,high school                 ,standard     ,completed               ,        58 ,           52 ,           54
female ,group C        ,some high school            ,free/reduced ,completed               ,        65 ,           76 ,           75
male   ,group A        ,some high school            ,standard     ,completed               ,        66 ,           68 ,           64
male   ,group C        ,some high school            ,standard     ,completed               ,        78 ,           72 ,           69
female ,group A        ,high school                 ,free/reduced ,completed               ,        53 ,           50 ,           60
female ,group C        ,some college                ,standard     ,completed               ,        64 ,           82 ,           77
male   ,group B        ,some college                ,free/reduced ,completed               ,        60 ,           62 ,           60
male   ,group D        ,high school                 ,standard     ,completed               ,        55 ,           41 ,           48
male   ,group B        ,some high school            ,standard     ,completed               ,        79 ,           85 ,           86
female ,group A        ,some college                ,standard     ,completed               ,        78 ,           87 ,           91
male   ,group E        ,some high school            ,standard     ,completed               ,        81 ,           75 ,           76
female ,group D        ,some college                ,free/reduced ,completed               ,        67 ,           86 ,           83
male   ,group E        ,high school                 ,free/reduced ,completed               ,        86 ,           81 ,           75
female ,group B        ,some high school            ,standard     ,completed               ,        65 ,           82 ,           78
female ,group E        ,master's degree             ,standard     ,completed               ,        88 ,           99 ,           95
